,id,name_x,Марка :,Применение:,Дополнение:,Cu,Al,C,Ni,Si,Cr,Mn,Zn,Ti,Fe,Заменитель:,Mo,Mg,V,Классификация :,type_x,Pb,Примесей,-,W,Sn,Co,Ag,Nb,P,Zr,Sb,S,Cd,B,Pt,Ni+Co,Au,Pd,Bi,N,As,O,Ca,Be,Rh,sв,d5,Ir,Ce,Te,sT,Tl,y,Se,H,Na,Ta,Hg,In,Ru,Ga,KCU,Ba,Nd,Li,Al+Mg,Cl,La,РЗМ,Sr,Re,Cu+P,Sc,Hf,F
0,2391,35БТ,35БТ,"Для изготовления сверхпроводящих экранов магнитного поля, для токопроводов сверхпроводящих магнитных систем.","Критическая плотность тока в поперечном магнитном поле 3,2·106 А/м при 4,2К JК= (3—6)·104 А/см2. Хорошо деформируется, можно изготовлять из него тонкую проволоку, ленту, сверхпроводящие композиционные материалы с большим количеством жил (до 361).",,,до 0.03,,,,,,60 - 64,,,,,,Сплав прецизионный сверхпроводящий,Сплав прецизионный сверхпроводящий,,,,,,,,,,1.7 - 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5 - 36.5,,,,,,,,,,,
1,2393,70ТМ-ВД,70ТМ-ВД,Для изготовления датчиков температуры; уровнемеров жидкого гелия.,"Сплав обладает узким сверхпроводящим переходом при 4,5 К, ширина не более 0,2 К, верхним критическим полем, (0,2±0,02) Т высоким удельным электросопротивлением 1,0 мкОм·м, слабоменяющимся с температурой (относительное изменение его в диапазоне от -16 до +24 К не превышает 30%). Изготавливается в виде проволоки диаметром 0,25—0,35 мм в медной оболочке.",,,до 0.03,,,,,,73.5 - 76,до 2.5,,24 - 26,,,Сплав прецизионный сверхпроводящий,Сплав прецизионный сверхпроводящий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,692,16Х,16Х,"Для магнитопроводов различных систем управления якорей и электромагнитов; деталей электрических машин без защитных покрытий, работающих в сложных условиях воздействия среды, температуры и давления;",Сплав с высокой индукцией в слабых и средних полях и низкой коэрцитивной силой; с коррозионной стойкостью в ряде кислотных и агрессивных сред.,,,до 0.015,до 0.3,до 0.2,15.5 - 16.5,до 0.3,,,,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.015,,,до 0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2392,БТЦ-ВД,БТЦ-ВД,Для изготовления сверхпроводниковых топологических генераторов коммутаторов в системах ввода и вывода энергии сверхпроводящих магнитов; криогенных конструкций.,"Критический ток на единицу ширины холоднокатаной ленты толщиной 20 мкм и шириной 90—100 мм не ниже (8,5—9,0)·104 А/м, температура сверхпроводящего перехода 8,5—9,0 К, временное сопротивление разрыву 100—110 Н/мм2.",,,до 0.03,,,,,,0.07 - 0.2,,,,,,Сплав прецизионный сверхпроводящий,Сплав прецизионный сверхпроводящий,,,,,,,,98.76 - 99.73,,0.2 - 1,,,,,,,,,,до 0.005,,до 0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,670,34НКМ,34НКМ ( другое обозначение 34НКМП ),"Для изготовления сердечников магнитных усилителей, коммутирующих дросселей, выпрямительных установок, элементов вычислительных аппаратов счетно-решающих машин.","Сплав с магнитной текстурой и прямоугольной петлей гистерезиса, высокой магнитной проницаемостью и индукцией насыщения не менее 1,2—1,5 Т.",,,до 0.03,33.5 - 35,0.15 - 0.3,,0.3 - 0.6,,,30.83 - 34.75,,2.8 - 3.2,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,28.5 - 30,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,688,27КХ,27КХ,"Для изготовления роторов и статоров электрических машин и других магнитопроводов, работающих при обычных и высоких температурах и в условиях механических нагрузок.","Сплав с высокой индукцией от 24 кгс в средних и сильных полях, высокой точкой Кюри 950 °С и повышенными механическими свойствами.",,,до 0.04,до 0.3,до 0.25,0.3 - 0.6,0.2 - 0.4,,,,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,26.5 - 28,,,до 0.015,,,до 0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,671,35НКХСП,35НКХСП,"Для сердечников магнитных усилителей, коммутирующих дросселей, выпрямительных установок; сплав обладает анизотропией магнитных свойств и прямоугольной петлей гистерезиса",С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.,,,до 0.03,35 - 37,0.8 - 1.2,1.8 - 2.2,0.3 - 0.6,,,29.93 - 35.1,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,27 - 29,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,685,36КНМ,36КНМ,"Для магнитопроводов, работающих в морской воде; Сплав с высокой индукцией в слабых и средних полях и низкой коэрцитивной силой; с высокой коррозионной стойкостью в морской воде.",С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.,,,до 0.03,21.5 - 22.5,до 0.4,,до 0.5,,,36.34 - 40.2,,2.8 - 3.2,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,35.5 - 37,,,до 0.015,,,до 0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,672,40Н,40Н,Для сердечников помехоподавляющих проводов зажигания автомобилей,Сплав с повышенной магнитной проницаемостью и индукцией насыщения.,до 0.2,,до 0.05,39 - 41,0.15 - 0.3,,0.3 - 0.6,,,,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,981,47НКХ,47НКХ,"для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов; сплав обладает анизотропией магнитных свойств, низкой остаточной магнитной индукцией и постоянством магнитной проницаемости",,,,до 0.03,46 - 48,0.15 - 0.3,1.8 - 2.2,0.3 - 0.6,,,26.33 - 30.25,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,21.5 - 22.5,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
