"id";"name";"type";"Марка :";"Классификация :";"Дополнение:";"Применение:";"Зарубежные аналоги:";"Заменитель:";
"2391";"35БТ";"Сплав прецизионный сверхпроводящий";"35БТ";"Сплав прецизионный сверхпроводящий";"Критическая плотность тока в поперечном магнитном поле 3,2·106 А/м при 4,2К JК= (3—6)·104 А/см2. Хорошо деформируется, можно изготовлять из него тонкую проволоку, ленту, сверхпроводящие композиционные материалы с большим количеством жил (до 361).";"Для изготовления сверхпроводящих экранов магнитного поля, для токопроводов сверхпроводящих магнитных систем.";"Нет данных"
"2393";"70ТМ-ВД";"Сплав прецизионный сверхпроводящий";"70ТМ-ВД";"Сплав прецизионный сверхпроводящий";"Сплав обладает узким сверхпроводящим переходом при 4,5 К, ширина не более 0,2 К, верхним критическим полем, (0,2±0,02) Т высоким удельным электросопротивлением 1,0 мкОм·м, слабоменяющимся с температурой (относительное изменение его в диапазоне от -16 до +24 К не превышает 30%). Изготавливается в виде проволоки диаметром 0,25—0,35 мм в медной оболочке.";"Для изготовления датчиков температуры; уровнемеров жидкого гелия.";"Нет данных"
"692";"16Х";"Сплав прецизионный магнитно-мягкий";"16Х";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой индукцией в слабых и средних полях и низкой коэрцитивной силой; с коррозионной стойкостью в ряде кислотных и агрессивных сред.";"Для магнитопроводов различных систем управления якорей и электромагнитов; деталей электрических машин без защитных покрытий, работающих в сложных условиях воздействия среды, температуры и давления;";"Нет данных"
"2392";"БТЦ-ВД";"Сплав прецизионный сверхпроводящий";"БТЦ-ВД";"Сплав прецизионный сверхпроводящий";"Критический ток на единицу ширины холоднокатаной ленты толщиной 20 мкм и шириной 90—100 мм не ниже (8,5—9,0)·104 А/м, температура сверхпроводящего перехода 8,5—9,0 К, временное сопротивление разрыву 100—110 Н/мм2.";"Для изготовления сверхпроводниковых топологических генераторов коммутаторов в системах ввода и вывода энергии сверхпроводящих магнитов; криогенных конструкций.";"Нет данных"
"670";"34НКМ";"Сплав прецизионный магнитно-мягкий";"34НКМ       (    другое обозначение         34НКМП     )";"Сплав прецизионный магнитно-мягкий";"Сплав с магнитной текстурой и прямоугольной петлей гистерезиса, высокой магнитной проницаемостью и индукцией насыщения не менее 1,2—1,5 Т.";"Для изготовления сердечников магнитных усилителей, коммутирующих дросселей, выпрямительных установок, элементов вычислительных аппаратов счетно-решающих машин.";"Нет данных"
"688";"27КХ";"Сплав прецизионный магнитно-мягкий";"27КХ";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой индукцией от 24 кгс в средних и сильных полях, высокой точкой Кюри 950 °С и повышенными механическими свойствами.";"Для изготовления роторов и статоров электрических машин и других магнитопроводов, работающих при обычных и высоких температурах и в условиях механических нагрузок.";"Нет данных"
"671";"35НКХСП";"Сплав прецизионный магнитно-мягкий";"35НКХСП";"Сплав прецизионный магнитно-мягкий";"С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.";"Для сердечников магнитных усилителей, коммутирующих дросселей, выпрямительных установок; сплав обладает анизотропией магнитных свойств и прямоугольной петлей гистерезиса";"Нет данных"
"685";"36КНМ";"Сплав прецизионный магнитно-мягкий";"36КНМ";"Сплав прецизионный магнитно-мягкий";"С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.";"Для магнитопроводов, работающих в морской воде; Сплав с высокой индукцией в слабых и средних полях и низкой коэрцитивной силой; с высокой коррозионной стойкостью в морской воде.";"Нет данных"
"672";"40Н";"Сплав прецизионный магнитно-мягкий";"40Н";"Сплав прецизионный магнитно-мягкий";"Сплав с повышенной магнитной проницаемостью и индукцией насыщения.";"Для сердечников помехоподавляющих проводов зажигания автомобилей";"Нет данных"
"981";"47НКХ";"Сплав прецизионный магнитно-мягкий";"47НКХ";"Сплав прецизионный магнитно-мягкий";;"для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов; сплав обладает анизотропией магнитных свойств, низкой остаточной магнитной индукцией и постоянством магнитной проницаемости";"Нет данных"
